corridor_id,camera_id,vehicle_id,from_frame,to_frame,from_camera,to_camera,description,class
0,c018,101,78.0,84.0,c020,c017,black honda suv,2
0,c018,47,162.0,173.0,c017,c020,gray bmw suv,2
0,c018,103,243.0,252.0,c020,c017,gray chrystler sedan,2
0,c018,48,255.0,263.0,c017,c020,white gmc suv,2
0,c018,104,266.0,275.0,c020,c017,red jeep cherokee,2
0,c018,49,412.0,424.0,c017,c020,silver ram pickup,2
0,c018,50,437.0,445.0,c017,c020,red chevy pickup,2
0,c018,51,473.0,482.0,c017,c020,black buick sedan,2
0,c018,114,2650.0,2659.0,c020,c017,white toyota suv,2
0,c018,53,605.0,615.0,c017,c020,gray kia sedan,2
0,c018,52,627.0,635.0,c020,c017,gray toyota sedan,2
0,c018,46,760.0,769.0,c020,c017,blue honda crv,2
0,c018,113,1137.0,1143.0,c020,c017,gray toyota sedan,2
0,c018,54,1187.0,1195.0,c020,c017,white chevy suv,2
0,c018,56,1246.0,1254.0,c020,c017,blue ford sedan,2
0,c018,57,1314.0,1323.0,c020,c017,red ford suv,2
0,c018,105,1334.0,1344.0,c017,c020,tan chevy sedan,2
0,c018,58,1334.0,1344.0,c020,c017,blue gmc suv,2
0,c018,59,1360.0,1369.0,c020,c017,black jeep cherokee,2
0,c018,64,1404.0,1412.0,c017,c020,police car,2
0,c018,44,1516.0,1524.0,c020,c017,blue jeep cherokee,2
0,c018,61,1794.0,1803.0,c020,c017,red jeep suv,2
0,c018,65,1819.0,1826.0,c017,c020,gray jeep wrangler,2
0,c018,62,1866.0,1874.0,c020,c017,blue honda crv,2
0,c018,63,1982.0,1989.0,c020,c017,silver hyundai suv,2
0,c018,106,2396.0,2402.0,c020,c017,white chrystler suv,2
0,c018,66,2425.0,2429.0,c020,c017,black nissan suv,2
0,c018,67,2481.0,2491.0,c020,c017,white chrystler minivan,2
0,c018,77,2481.0,2488.0,c017,c020,red ram minivan,2
0,c018,68,2503.0,2509.0,c020,c017,tan chevy sedan,2
0,c018,69,2533.0,2540.0,c020,c017,blue saab sedan,2
0,c018,70,2564.0,2570.0,c020,c017,white kia suv,2
0,c018,71,2636.0,2643.0,c020,c017,gray chevy pickup,2
0,c018,73,2668.0,2678.0,c020,c017,blue hyundai suv,2
0,c018,107,2685.0,2692.0,c017,c020,blue sedan,2
0,c018,74,2928.0,2933.0,c020,c017,white sedan,2
0,c018,75,2944.0,2952.0,c020,c017,black chevy sedan,2
0,c018,84,2952.0,2957.0,c017,c020,black chevy pickup,2
0,c018,76,3009.0,3015.0,c020,c017,blue ford suv,2
0,c018,87,3096.0,3101.0,c017,c020,gray toyota suv,2
0,c018,78,3105.0,3114.0,c020,c017,blue honda sedan,2
0,c018,79,3119.0,3128.0,c020,c017,red jeep cherokee,2
0,c018,80,3143.0,3152.0,c020,c017,white ford pickup,2
0,c018,90,3176.0,3183.0,c017,c020,gray hyundai suv,2
0,c018,95,3551.0,3558.0,c017,c020,silver chevy suv,2
0,c018,115,3456.0,3465.0,c020,c017,silver ford sedan,2
0,c018,83,3509.0,3513.0,c020,c017,blue chevy pickup,2
0,c018,85,3572.0,3581.0,c020,c017,red ram suv,2
0,c018,108,3606.0,3613.0,c020,c017,red mazda sedan,2
0,c018,109,3665.0,3674.0,c017,c020,red ford sedan,2
0,c018,88,3757.0,3766.0,c020,c017,red ford pickup,2
0,c018,89,3776.0,3786.0,c020,c017,black jeep wrangler,2
0,c018,92,3809.0,3816.0,c020,c017,black buick suv,2
0,c018,93,3829.0,3837.0,c020,c017,gray nissan suv,2
0,c020,110,38.0,52.0,c021,c018,red gmc suv,2
0,c020,111,55.0,64.0,c021,c018,gray sedan,2
0,c020,112,76.0,87.0,c021,c018,white mustang,2
0,c020,101,118.0,128.0,c021,c018,black honda suv,2
0,c020,47,155.0,169.0,c018,c021,gray bmw suv,2
0,c020,48,250.0,262.0,c018,c021,white gmc suv,2
0,c020,103,285.0,294.0,c021,c018,gray chrystler sedan,2
0,c020,104,308.0,316.0,c021,c018,red jeep cherokee,2
0,c020,116,345.0,370.0,c021,c018,white toyota suv,2
0,c020,49,404.0,419.0,c018,c021,silver ram pickup,2
0,c020,50,428.0,443.0,c018,c021,red chevy pickup,2
0,c020,51,471.0,483.0,c018,c021,black buick sedan,2
0,c020,114,2691.0,2700.0,c021,c018,white toyota suv,2
0,c020,53,606.0,615.0,c018,c021,gray kia sedan,2
0,c020,52,666.0,676.0,c021,c018,gray toyota sedan,2
0,c020,46,802.0,811.0,c021,c018,blue honda crv,2
0,c020,117,841.0,892.0,c018,c020,white van,2
0,c020,113,1175.0,1186.0,c021,c018,gray toyota sedan,2
0,c020,54,1227.0,1238.0,c021,c018,white chevy suv,2
0,c020,56,1286.0,1297.0,c021,c018,blue ford sedan,2
0,c020,105,1328.0,1342.0,c018,c021,tan chevy sedan,2
0,c020,57,1357.0,1366.0,c021,c018,red ford suv,2
0,c020,58,1378.0,1389.0,c021,c018,blue gmc suv,2
0,c020,64,1396.0,1411.0,c018,c021,police car,2
0,c020,59,1404.0,1415.0,c021,c018,black jeep cherokee,2
0,c020,44,1555.0,1566.0,c021,c018,blue jeep cherokee,2
0,c020,65,1816.0,1831.0,c018,c021,gray jeep wrangler,2
0,c020,61,1839.0,1850.0,c021,c018,red jeep suv,2
0,c020,62,1905.0,1916.0,c021,c018,blue honda crv,2
0,c020,63,2022.0,2034.0,c021,c018,silver hyundai suv,2
0,c020,118,2319.0,2348.0,c018,c021,green taxi minivan,2
0,c020,106,2434.0,2446.0,c021,c018,white chrystler suv,2
0,c020,66,2461.0,2469.0,c021,c018,black nissan suv,2
0,c020,77,2474.0,2487.0,c018,c021,red ram minivan,2
0,c020,67,2528.0,2543.0,c021,c018,white chrystler minivan,2
0,c020,68,2543.0,2554.0,c021,c018,tan chevy sedan,2
0,c020,69,2573.0,2585.0,c021,c018,blue saab sedan,2
0,c020,70,2601.0,2613.0,c021,c018,white kia suv,2
0,c020,71,2675.0,2682.0,c021,c018,gray chevy pickup,2
0,c020,107,2682.0,2695.0,c018,c021,blue sedan,2
0,c020,73,2711.0,2720.0,c021,c018,blue hyundai suv,2
0,c020,84,2945.0,2958.0,c018,c021,black chevy pickup,2
0,c020,74,2964.0,2978.0,c021,c018,white sedan,2
0,c020,75,2984.0,2992.0,c021,c018,black chevy sedan,2
0,c020,76,3048.0,3058.0,c021,c018,blue ford suv,2
0,c020,119,3082.0,3099.0,c021,c018,blue ford pickup,2
0,c020,87,3093.0,3105.0,c018,c021,gray toyota suv,2
0,c020,78,3146.0,3158.0,c021,c018,blue honda sedan,2
0,c020,79,3161.0,3172.0,c021,c018,red jeep cherokee,2
0,c020,90,3175.0,3185.0,c018,c021,gray hyundai suv,2
0,c020,80,3185.0,3197.0,c021,c018,white ford pickup,2
0,c020,138,3451.0,3459.0,c018,c021,green ford suv,2
0,c020,83,3543.0,3550.0,c021,c018,blue chevy pickup,2
0,c020,95,3553.0,3561.0,c018,c021,silver chevy suv,2
0,c020,85,3613.0,3625.0,c021,c018,red ram suv,2
0,c020,108,3644.0,3655.0,c021,c018,red mazda sedan,2
0,c020,109,3665.0,3675.0,c018,c021,red ford sedan,2
0,c020,88,3800.0,3812.0,c021,c018,red ford pickup,2
0,c020,89,3818.0,3830.0,c021,c018,black jeep wrangler,2
0,c020,92,3845.0,3856.0,c021,c018,black buick suv,2
0,c020,93,3865.0,3878.0,c021,c018,gray nissan suv,2
0,c021,120,,0.0,,c020,gray pickup,2
0,c021,110,46.0,76.0,c022,c020,red gmc suv,2
0,c021,111,64.0,96.0,c022,c020,gray sedan,2
0,c021,112,84.0,109.0,c022,c020,white mustang,2
0,c021,47,96.0,133.0,c020,c022,gray bmw suv,2
0,c021,101,128.0,151.0,c022,c020,black honda suv,2
0,c021,48,190.0,222.0,c020,c022,white gmc suv,2
0,c021,103,299.0,317.0,c022,c020,gray chrystler sedan,2
0,c021,104,317.0,337.0,c022,c020,red jeep cherokee,2
0,c021,49,352.0,381.0,c020,c022,silver ram pickup,2
0,c021,116,377.0,399.0,c022,c020,gray toyota suv,2
0,c021,50,381.0,405.0,c020,c022,red chevy pickup,2
0,c021,51,317.0,444.0,c020,c022,black buick sedan,2
0,c021,53,563.0,581.0,c020,c022,gray kia sedan,2
0,c021,52,604.0,624.0,c022,c020,gray toyota sedan,2
0,c021,113,1184.0,1207.0,c022,c020,gray honda sedan,2
0,c021,117,765.0,809.0,c020,c022,white van,2
0,c021,46,812.0,833.0,c022,c020,blue honda crv,2
0,c021,54,1235.0,1257.0,c022,c020,white chevy suv,2
0,c021,105,1280.0,1308.0,c020,c022,tan chevy sedan,2
0,c021,56,1297.0,1318.0,c022,c020,blue ford sedan,2
0,c021,64,1343.0,1375.0,c020,c022,police car,2
0,c021,57,1369.0,1393.0,c022,c020,red ford suv,2
0,c021,58,1389.0,1408.0,c022,c020,blue gmc suv,2
0,c021,59,1418.0,1441.0,c022,c020,black jeep cherokee,2
0,c021,44,1563.0,1589.0,c022,c020,blue jeep cherokee,2
0,c021,65,1777.0,1797.0,c020,c022,gray jeep wrangler,2
0,c021,61,1849.0,1877.0,c022,c020,red jeep suv,2
0,c021,62,1911.0,1935.0,c022,c020,blue honda crv,2
0,c021,63,2032.0,2059.0,c022,c020,silver hyundai suv,2
0,c021,118,2269.0,2299.0,c020,c022,green taxi minivan,2
0,c021,77,2423.0,2452.0,c020,c022,red ram minivan,2
0,c021,106,2441.0,2461.0,c022,c020,white chrystler suv,2
0,c021,66,2468.0,2490.0,c022,c020,black nissan suv,2
0,c021,67,2539.0,2564.0,c022,c020,white chrystler minivan,2
0,c021,68,2553.0,2578.0,c022,c020,tan chevy sedan,2
0,c021,69,2585.0,2605.0,c022,c020,blue saab sedan,2
0,c021,70,2611.0,2630.0,c022,c020,white kia suv,2
0,c021,107,2635.0,2656.0,c020,c022,blue honda sedan,2
0,c021,71,2682.0,2702.0,c022,c020,gray chevy pickup,2
0,c021,114,2698.0,2715.0,c022,c020,silver hyundai suv,2
0,c021,73,2720.0,2742.0,c022,c020,blue hyundai suv,2
0,c021,84,2895.0,2919.0,c020,c022,black chevy pickup,2
0,c021,74,2973.0,2993.0,c022,c020,white buick sedan,2
0,c021,75,2990.0,3008.0,c022,c020,black chevy sedan,2
0,c021,87,3045.0,3069.0,c020,c022,gray toyota suv,2
0,c021,76,3056.0,3077.0,c022,c020,blue ford suv,2
0,c021,119,3108.0,3130.0,c022,c020,blue ford pickup,2
0,c021,90,3130.0,3149.0,c020,c022,gray hyundai suv,2
0,c021,78,3157.0,3177.0,c022,c020,blue honda sedan,2
0,c021,79,3173.0,3193.0,c022,c020,red jeep cherokee,2
0,c021,80,3198.0,3219.0,c022,c020,white ford pickup,2
0,c021,138,3400.0,3421.0,c020,c022,green ford suv,2
0,c021,95,3501.0,3525.0,c020,c022,silver chevy suv,2
0,c021,83,3549.0,3567.0,c022,c020,blue chevy pickup,2
0,c021,109,3616.0,3638.0,c020,c022,red ford sedan,2
0,c021,85,3622.0,3642.0,c022,c020,red ram suv,2
0,c021,108,3653.0,3676.0,c022,c020,red mazda sedan,2
0,c021,88,3812.0,3831.0,c022,c020,red ford pickup,2
0,c021,89,3829.0,3849.0,c022,c020,blue jeep wrangler,2
0,c021,92,3852.0,3871.0,c022,c020,black buick suv,2
0,c021,93,3875.0,3892.0,c022,c020,gray nissan suv,2
0,c022,121,46.0,85.0,c023,c021,gray ram minivan,2
0,c022,49,50.0,77.0,c021,c023,white ram pickup,2
0,c022,50,85.0,117.0,c021,c023,red chevy pickup,2
0,c022,51,159.0,188.0,c021,c023,black buick sedan,2
0,c022,122,235.0,270.0,c021,c023,gray audi suv,2
0,c022,53,284.0,319.0,c021,c023,gray kia sedan,2
0,c022,120,298.0,355.0,c023,c021,gray pickup,2
0,c022,110,334.0,383.0,c023,c021,red gmc suv,2
0,c022,111,353.0,424.0,c023,c021,gray sedan,2
0,c022,112,379.0,445.0,c023,c021,white mustang,2
0,c022,101,424.0,476.0,c023,c021,black honda suv,2
0,c022,117,470.0,505.0,c021,c023,white van,2
0,c022,105,1006.0,1033.0,c021,c023,tan lincoln sedan,2
0,c022,123,565.0,586.0,c021,c023,red ford sedan,2
0,c022,116,702.0,756.0,c023,c021,gray toyota suv,2
0,c022,124,761.0,811.0,c023,c021,white ford pickup,2
0,c022,114,2939.0,2970.0,c023,c021,white toyota suv,2
0,c022,52,942.0,984.0,c023,c021,gray honda sedan,2
0,c022,125,1000.0,1033.0,c023,c021,black toyota suv,2
0,c022,64,1057.0,1083.0,c021,c023,police car,2
0,c022,46,1114.0,1152.0,c023,c021,blue honda crv,2
0,c022,126,1137.0,1165.0,c021,c023,blue kia suv,2
0,c022,127,1165.0,1197.0,c023,c021,black hyundai suv,2
0,c022,128,1207.0,1249.0,c023,c021,gray hyundai sedan,2
0,c022,129,1239.0,1275.0,c023,c021,white chrystler minivan,2
0,c022,113,1473.0,1512.0,c023,c021,gray toyota sedan,2
0,c022,54,1508.0,1541.0,c023,c021,white chevy suv,2
0,c022,65,1523.0,1546.0,c021,c023,gray jeep wrangler,2
0,c022,56,1588.0,1613.0,c023,c021,black ford sedan,2
0,c022,57,1668.0,1700.0,c023,c021,red ford suv,2
0,c022,58,1695.0,1731.0,c023,c021,black gmc suv,2
0,c022,59,1722.0,1754.0,c023,c021,black jeep cherokee,2
0,c022,130,1779.0,1822.0,c023,c021,gray chevy suv,2
0,c022,44,1856.0,1897.0,c023,c021,blue jeep cherokee,2
0,c022,131,1940.0,1977.0,c021,c023,gray dodge pickup,2
0,c022,132,1977.0,2029.0,c023,c021,white chevy pickup,2
0,c022,77,2097.0,2132.0,c021,c023,red ram minivan,2
0,c022,133,2139.0,2166.0,c021,c023,blue ford pickup,2
0,c022,61,2166.0,2191.0,c023,c021,red jeep suv,2
0,c022,62,2175.0,2208.0,c023,c021,black honda suv,2
0,c022,134,2217.0,2245.0,c023,c021,white jeep wrangler,2
0,c022,63,2286.0,2313.0,c023,c021,silver hyundai suv,2
0,c022,107,2354.0,2377.0,c021,c023,blue honda sedan,2
0,c022,135,2385.0,2425.0,c023,c021,black jeep suv,2
0,c022,84,2597.0,2630.0,c021,c023,black chevy pickup,2
0,c022,136,2630.0,2661.0,c023,c021,tan jeep suv,2
0,c022,106,2690.0,2719.0,c023,c021,white chrystler suv,2
0,c022,66,2729.0,2759.0,c023,c021,black nissan suv,2
0,c022,87,2776.0,2802.0,c021,c023,gray toyota suv,2
0,c022,67,2808.0,2830.0,c023,c021,white chrystler minivan,2
0,c022,68,2820.0,2850.0,c023,c021,tan chevy sedan,2
0,c022,90,2850.0,2875.0,c021,c023,gray hyundai suv,2
0,c022,69,2866.0,2896.0,c023,c021,blue saab sedan,2
0,c022,70,2891.0,2924.0,c023,c021,white kia suv,2
0,c022,71,2924.0,2955.0,c023,c021,gray chevy pickup,2
0,c022,73,2974.0,3003.0,c023,c021,gray hyundai suv,2
0,c022,137,3083.0,3122.0,c023,c021,gray chevy sedan,2
0,c022,138,3127.0,3149.0,c021,c023,green ford suv,2
0,c022,74,3214.0,3241.0,c023,c021,white buick sedan,2
0,c022,95,3234.0,3258.0,c021,c023,silver chevy suv,2
0,c022,75,3261.0,3292.0,c023,c021,black chevy sedan,2
0,c022,109,3319.0,3343.0,c021,c023,red ford sedan,2
0,c022,76,3323.0,3355.0,c023,c021,blue ford suv,2
0,c022,78,3435.0,3463.0,c023,c021,blue honda sedan,2
0,c022,79,3453.0,3480.0,c023,c021,red jeep cherokee,2
0,c022,80,3479.0,3507.0,c023,c021,white ford pickup,2
0,c022,139,3624.0,3656.0,c023,c021,blue chevy pickup,2
0,c022,83,3795.0,3820.0,c023,c021,blue chevy pickup,2
0,c022,140,3815.0,3847.0,c021,c023,gray chevy sedan,2
0,c022,141,3872.0,3900.0,c021,c023,black chevy sedan,2
0,c022,85,3887.0,3914.0,c023,c021,red ram suv,2
0,c022,142,3914.0,3937.0,c021,c023,white honda sedan,2
0,c022,108,3923.0,3950.0,c023,c021,red mazda sedan,2
